topic,link,type,skill name,specific link,description,course appears if,course appears if (numerical)
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,Getting Started with Enterprise-grade AI,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=256c0f15-a1f2-4b9e-b672-63f4d8b20018,"This course covers the foundations of Artificial Intelligence for business, including the following topics: AI Evolution, AI Industry Adoption Trends, Natural Language Processing and Virtual Agents.",both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,IBM Watson Machine Learning Essentials,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=463ba684-87d1-4355-853a-ec66814584d9,Watson Machine Learning is a service on IBM Cloud with features for training and deploying machine learning models and neural networks. This course consists of a series of videos showing how to use the Watson Machine Learning in Watson Studio.,both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,IBM AI Education,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=6d92def9-70bd-4307-9fe8-d2b7372b94f1,"We know that students need to understand AI to be successful in the modern workforce. Through this PD experience, teachers will be able to equip their students to think about how AI impacts their lives and what it means for their professional futures.",both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,Data Refinery Essentials,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=84b143de-a18b-40b0-8c5c-46a6e9f511c3,"Data Refinery is a self-service data preparation client for data scientists, data engineers, and business analysts. With it, you can quickly transform large amounts of raw data into consumable, quality information that’s ready for analytics.",both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,OpenDS4All,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=7de402f8-db6b-47a1-ad6c-d5ba028f7d2c,OpenDS4All is a project created to accelerate the creation of data science curriculum at academic institutions. The project hosts educational modules that may be used as building blocks for a data science curriculum.,both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,Watson Academy,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=dd44379d-d2c6-43ee-aba1-6f362052c2cb,Your fast track to cognitive computing,both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,IBM Watson Knowledge Catalog Essentials,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=4eb246ce-2c42-485e-a50a-47815da40831,"IBM Watson Knowledge Catalog is a secure enterprise catalog to index, classify, and govern your data with greater efficiency. Manage your data from every angle giving you a 360-degree view of your data so you can create models, uncover insights, and collaborate more effectively.",both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,courseware,Create a Node-RED starter application,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=6ba25c43-1f7f-4762-8924-3dd71d5e3c08,"In this tutorial, you will learn how to create a Node-RED starter application in the IBM Cloud, including a Cloudant database to store the application flow configuration.",both,2
CAPSTONE,https://www.ibm.com/academic/topic/capstone,courseware,Getting Started with Enterprise-grade AI,https://www.ibm.com/academic/topic/capstone?ach_id=256c0f15-a1f2-4b9e-b672-63f4d8b20018,"This course covers the foundations of Artificial Intelligence for business, including the following topics: AI Evolution, AI Industry Adoption Trends, Natural Language Processing and Virtual Agents.",both,2
CAPSTONE,https://www.ibm.com/academic/topic/capstone,courseware,Getting Started with Enterprise Data Science,https://www.ibm.com/academic/topic/capstone?ach_id=8d72f699-26ac-4542-a701-6b69f50e6b5f,"This course provides a basic understanding of the foundations of Data Science including: Data Science Team Roles, Data Analysis Tools, and real-world use cases.",both,2
CAPSTONE,https://www.ibm.com/academic/topic/capstone,courseware,Getting Started with Threat Intelligence and Hunting,https://www.ibm.com/academic/topic/capstone?ach_id=3f13c64c-c7ca-45d8-bce1-f05711460f09,"This is a foundational course, exposing the learner to threat intelligence concepts including: Attack trends by geography, threat intelligence tools and real-world use cases.",both,2
